name,country,status,n_stations,station_type,n_capacity_nan,n_capacity_zero,capacity_median,capacity_unique_values,A1_n_stations,A1_share_pct,A3_n_stations,A3_share_pct,A4_n_stations,A4_share_pct,A2_flagged,A5_flagged,A6_flagged,A7_flagged,url,elapsed_s,a7_share,eligible,filter_reason,tier,tier1_archive_url
Bike Brasilia,BR,ok,70.0,docked_bike,0.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://brasilia.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,2.1,0.0,True,,T2,
Bike Estácio,BR,ok,51.0,docked_bike,0.0,1.0,15.0,11.0,0.0,0.0,0.0,0.0,3.0,5.88,False,False,True,False,https://curitiba.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,2.6,0.0,True,,T2,
Bike Porto Alegre,BR,ok,90.0,docked_bike,0.0,0.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://portoalegre.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,2.7,0.0,True,,T2,
àVélo,CA,ok,226.0,docked_bike,0.0,6.0,20.0,19.0,0.0,0.0,0.0,0.0,2.0,0.88,False,True,True,False,https://quebec.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.0,0.0,True,,T2,
Velospot,CH,ok,1634.0,docked_bike,0.0,0.0,40.0,26.0,0.0,0.0,0.0,0.0,80.0,4.9,False,False,False,False,https://api.mobidata-bw.de/sharing/gbfs/v3/velospot_ch/gbfs,0.6,0.0,True,,T2,
Bike Itaú - Santiago,CL,ok,199.0,docked_bike,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,3.0,1.51,False,True,False,False,https://santiago.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,2.0,0.0,True,,T2,
Bogotá,CO,ok,194.0,docked_bike,0.0,1.0,15.0,16.0,0.0,0.0,0.0,0.0,2.0,1.03,False,True,False,False,https://bogota.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.9,0.0,True,,T2,
nextbike Benešov,CZ,ok,26.0,docked_bike,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,3.85,True,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_co/gbfs.json,0.3,0.0,True,,T2,
nextbike Berounsko,CZ,ok,29.0,docked_bike,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,1.0,3.45,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_td/gbfs.json,0.4,0.0,True,,T2,
nextbike Česká Třebová,CZ,ok,26.0,docked_bike,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_nc/gbfs.json,0.4,0.0,True,,T2,
nextbike Klášterec nad Ohří,CZ,ok,22.0,docked_bike,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.55,True,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ko/gbfs.json,0.4,0.0,True,,T2,
nextbike Liberec,CZ,ok,51.0,docked_bike,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_xa/gbfs.json,0.4,0.058823529411764705,True,,T2,
nextbike OlbramoviceVotice,CZ,ok,20.0,docked_bike,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_cu/gbfs.json,0.4,0.1,True,,T2,
nextbike Praha,CZ,ok,1489.0,docked_bike,34.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,9.0,0.6,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_tg/gbfs.json,0.5,0.022834116856950974,True,,T2,
nextbike Šumperk,CZ,ok,20.0,docked_bike,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ns/gbfs.json,0.4,0.0,True,,T2,
nextbike Vrchlabí,CZ,ok,25.0,docked_bike,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_vr/gbfs.json,0.4,0.0,True,,T2,
Bre.Bike,DE,ok,108.0,docked_bike,0.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,3.0,2.78,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bq/gbfs.json,0.4,0.0,True,,T2,
Die Grüne Flotte,DE,ok,279.0,docked_bike,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,18.0,6.45,False,False,False,False,https://api.mobidata-bw.de/sharing/gbfs/v3/gruene-flotte_freiburg/gbfs,0.3,0.0,True,,T2,
Frelo,DE,ok,161.0,docked_bike,5.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,23.0,14.29,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_df/gbfs.json,0.8,0.031055900621118012,True,,T2,
moin mobil Achim,DE,ok,35.0,docked_bike,1.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,1.0,2.86,False,True,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_am/gbfs.json,0.7,0.02857142857142857,True,,T2,
movemix_bike,DE,ok,89.0,docked_bike,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,6.0,6.74,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_mx/gbfs.json,0.4,0.0,True,,T2,
Naturenergie sharing,DE,ok,318.0,docked_bike,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,52.0,16.35,False,False,False,False,https://api.mobidata-bw.de/sharing/gbfs/v3/naturenergie_sharing/gbfs,0.3,0.0,True,,T2,
nextbike Berlin,DE,ok,1521.0,docked_bike,5.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,8.0,0.53,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bn/gbfs.json,0.6,0.003287310979618672,True,,T2,
nextbike Gießen,DE,ok,64.0,docked_bike,4.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,1.0,1.56,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ng/gbfs.json,0.4,0.0625,True,,T2,
nextbike Kassel,DE,ok,65.0,docked_bike,0.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,6.0,9.23,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_dk/gbfs.json,0.4,0.0,True,,T2,
StadtRad Greifswald,DE,ok,25.0,docked_bike,0.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,3.0,12.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ug/gbfs.json,0.3,0.0,True,,T2,
swabi - augsburg,DE,ok,527.0,docked_bike,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,0.38,False,False,False,False,https://gbfs.partners.fifteen.eu/gbfs/2.2/swabi/en/gbfs.json,0.4,0.0,True,,T2,
UsedomRad,DE,ok,98.0,docked_bike,0.0,0.0,10.0,22.0,0.0,0.0,0.0,0.0,9.0,9.18,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ur/gbfs.json,0.4,0.0,True,,T2,
westBike,DE,ok,20.0,docked_bike,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,5.0,25.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_gh/gbfs.json,0.4,0.0,True,,T2,
AMBici,ES,ok,237.0,docked_bike,0.0,0.0,20.0,14.0,0.0,0.0,0.0,0.0,4.0,1.69,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bs/gbfs.json,0.4,0.0,True,,T2,
Bicicoruña,ES,ok,84.0,docked_bike,0.0,5.0,19.0,12.0,0.0,0.0,0.0,0.0,1.0,1.19,False,True,True,False,https://acoruna.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.2,0.0,True,,T2,
bicimad,ES,ok,637.0,docked_bike,0.0,3.0,44.0,36.0,0.0,0.0,0.0,0.0,8.0,1.26,False,False,False,False,https://madrid.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.4,0.0,True,,T2,
BicinRivas,ES,ok,42.0,docked_bike,0.0,0.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://rivas.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.2,0.0,True,,T2,
BiciPalma,ES,ok,91.0,docked_bike,1.0,0.0,18.0,19.0,0.0,0.0,0.0,0.0,2.0,2.2,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ea/gbfs.json,0.4,0.01098901098901099,True,,T2,
Bilbao Bizi,ES,ok,48.0,docked_bike,0.0,0.0,826.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://bilbao.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.2,0.0,True,,T2,
Bizi,ES,ok,276.0,docked_bike,0.0,0.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://zaragoza.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.2,0.0,True,,T2,
bizkaibizi (Spain),ES,ok,105.0,docked_bike,0.0,0.0,12.0,17.0,0.0,0.0,0.0,0.0,5.0,4.76,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_bw/gbfs.json,0.3,0.0,True,,T2,
Dbizi,ES,ok,70.0,docked_bike,0.0,0.0,19.0,15.0,0.0,0.0,0.0,0.0,2.0,2.86,False,False,False,False,https://sansebastian.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.2,0.0,True,,T2,
Ganxeta,ES,ok,24.0,docked_bike,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.ganxeta.cat/v2/gbfs.json,0.4,0.0,True,,T2,
moxsi (Las Palmas de Gran Canaria),ES,ok,64.0,docked_bike,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,1.0,1.56,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_el/gbfs.json,0.4,0.0,True,,T2,
nextbike BiciLOG,ES,ok,35.0,docked_bike,0.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,1.0,2.86,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ej/gbfs.json,0.4,0.0,True,,T2,
nextbike León,ES,ok,51.0,docked_bike,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,3.0,5.88,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_sl/gbfs.json,0.5,0.0,True,,T2,
Sevici,ES,ok,247.0,docked_bike,0.0,2.0,20.0,23.0,0.0,0.0,0.0,0.0,1.0,0.4,False,True,False,False,https://api.cyclocity.fr/contracts/seville/gbfs/v3/gbfs.json,0.5,0.0,True,,T2,
TUeBICI,ES,ok,42.0,docked_bike,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,1.0,2.38,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ek/gbfs.json,0.4,0.0,True,,T2,
Valenbisi,ES,ok,279.0,docked_bike,0.0,2.0,20.0,24.0,0.0,0.0,0.0,0.0,1.0,0.36,False,False,False,False,https://api.cyclocity.fr/contracts/valence/gbfs/v3/gbfs.json,0.4,0.0,True,,T2,
Valladolid,ES,ok,104.0,docked_bike,0.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,4.0,3.85,False,False,False,False,https://valladolid.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.2,0.0,True,,T2,
Altervelo Libre-service,FR,ok,31.0,docked_bike,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,2.0,6.45,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/altervelo/gbfs.json,0.3,0.0,True,,T2,
AuxR_M le vélo,FR,ok,55.0,docked_bike,0.0,1.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,https://gbfs.partners.fifteen.eu/gbfs/2.2/auxerre/en/gbfs.json,0.2,0.0,True,,T2,
C-Vélo,FR,ok,82.0,docked_bike,0.0,0.0,20.0,16.0,0.0,0.0,0.0,0.0,1.0,1.22,False,False,False,False,https://clermontferrand.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.2,0.0,True,,T2,
CaliVélo,FR,ok,66.0,docked_bike,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,8.0,12.12,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/calivelo/gbfs.json,0.2,0.0,True,,T2,
CapCotentin,FR,ok,49.0,docked_bike,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,4.0,8.16,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/capcotentin/gbfs.json,0.2,0.0,True,,T2,
Clem,FR,ok,379.0,docked_bike,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,124.0,32.72,False,True,False,False,https://gbfs.clem.mobi/gbfs.json,0.2,0.0,True,,T2,
Cycl'AM,FR,ok,34.0,docked_bike,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,4.0,11.76,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/cyclam/gbfs.json,0.2,0.0,True,,T2,
Cyclovis,FR,ok,28.0,docked_bike,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,4.0,14.29,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/cyclovis/gbfs.json,0.2,0.0,True,,T2,
GraouLib',FR,ok,56.0,docked_bike,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,3.0,5.36,False,False,False,False,https://gbfs.partners.fifteen.eu/gbfs/2.2/metz/en/gbfs.json,0.2,0.0,True,,T2,
IDEcycle (Pau),FR,ok,40.0,docked_bike,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.partners.fifteen.eu/gbfs/2.2/pau/en/gbfs.json,0.2,0.0,True,,T2,
Impulsyon,FR,ok,31.0,docked_bike,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,6.45,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/impulsyon/gbfs.json,0.2,0.0,True,,T2,
Le Marcel,FR,ok,30.0,docked_bike,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,3.0,10.0,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/lemarcel/gbfs.json,0.2,0.0,True,,T2,
Le Vélo par TBM,FR,ok,228.0,docked_bike,0.0,3.0,19.0,39.0,0.0,0.0,0.0,0.0,9.0,3.95,False,False,True,False,https://bdx.mecatran.com/utw/ws/gbfs/bordeaux/v3/gbfs.json?apiKey=opendata-bordeaux-metropole-flux-gtfs-rt,0.2,0.0,True,,T2,
LE vélo STAR,FR,ok,57.0,docked_bike,0.0,0.0,24.0,17.0,0.0,0.0,0.0,0.0,1.0,1.75,False,False,False,False,https://eu.ftp.opendatasoft.com/star/gbfs/gbfs.json,0.3,0.0,True,,T2,
levélo - Marseille,FR,ok,228.0,docked_bike,0.0,3.0,20.0,8.0,0.0,0.0,0.0,0.0,6.0,2.63,False,False,True,False,https://gbfs.omega.fifteen.eu/gbfs/2.2/marseille/en/gbfs.json,0.2,0.0,True,,T2,
Libélo,FR,ok,68.0,docked_bike,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,5.0,7.35,False,False,False,False,https://valence.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.2,0.0,True,,T2,
LOVELO Libre-service,FR,ok,124.0,docked_bike,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0,0.81,False,False,False,False,https://gbfs.urbansharing.com/lovelolibreservice.fr/gbfs.json,0.2,0.0,True,,T2,
MontenVélo,FR,ok,21.0,docked_bike,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,https://gbfs.partners.fifteen.eu/gbfs/2.2/mont_blanc/en/gbfs.json,0.2,0.0,True,,T2,
Naolib,FR,ok,123.0,docked_bike,0.0,0.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://api.cyclocity.fr/contracts/nantes/gbfs/v3/gbfs.json,0.4,0.0,True,,T2,
NemoVélo,FR,ok,52.0,docked_bike,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,5.0,9.62,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/nemovelo/gbfs.json,0.3,0.0,True,,T2,
Ogalo Cyclette,FR,ok,22.0,docked_bike,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0,4.55,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/ogalo/gbfs.json,0.2,0.0,True,,T2,
Optymo Belfort,FR,ok,32.0,docked_bike,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,2.0,6.25,False,False,False,False,https://data.optymo.fr/vls/gbfs.json,0.4,0.0,True,,T2,
Rubis'Velo,FR,ok,46.0,docked_bike,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,2.0,4.35,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/beb/gbfs.json,0.3,0.0,True,,T2,
Semo Vélo,FR,ok,40.0,docked_bike,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,2.0,5.0,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/semo/gbfs.json,0.3,0.0,True,,T2,
Twisto Vélolib,FR,ok,76.0,docked_bike,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,6.0,7.89,False,False,False,False,https://gbfs.partners.fifteen.eu/gbfs/2.2/caen/en/gbfs.json,0.2,0.0,True,,T2,
Vel’in,FR,ok,80.0,docked_bike,0.0,4.0,9.0,8.0,0.0,0.0,0.0,0.0,8.0,10.0,False,False,True,False,https://stce.transdev-hdf.fr/gbfs/,0.7,0.0,True,,T2,
Velam,FR,ok,46.0,docked_bike,0.0,1.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,https://api.cyclocity.fr/contracts/amiens/gbfs/v3/gbfs.json,0.3,0.0,True,,T2,
Vélhop - Strasbourg,FR,ok,39.0,docked_bike,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,2.0,5.13,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ae/gbfs.json,0.4,0.0,True,,T2,
Vélib' Metropole,FR,ok,1511.0,docked_bike,0.0,1.0,30.0,67.0,0.0,0.0,0.0,0.0,24.0,1.59,False,False,False,False,https://velib-metropole-opendata.smovengo.cloud/opendata/Velib_Metropole/gbfs.json,0.3,0.0,True,,T2,
Vélibéo,FR,ok,26.0,docked_bike,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,3.0,11.54,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/velibeo/gbfs.json,0.2,0.0,True,,T2,
Vélivert,FR,ok,97.0,docked_bike,0.0,1.0,20.0,4.0,0.0,0.0,0.0,0.0,14.0,14.43,False,False,True,False,https://api.saint-etienne-metropole.fr/velivert/api/gbfs/gbfs.json,0.2,0.0,True,,T2,
Vélo Fluo Grand-Est,FR,ok,52.0,docked_bike,0.0,20.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,1.92,False,True,True,False,https://gbfs.partners.fifteen.eu/gbfs/2.2/velo-fluo/en/gbfs.json,0.2,0.0,True,,T2,
Vélo Modalis,FR,ok,57.0,docked_bike,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.partners.fifteen.eu/gbfs/2.2/angouleme/en/gbfs.json,0.2,0.0,True,,T2,
Vélo Tanlib,FR,ok,58.0,docked_bike,0.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0,1.0,1.72,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/tanlib/gbfs.json,0.2,0.0,True,,T2,
Vélo'v,FR,ok,462.0,docked_bike,0.0,0.0,20.0,38.0,0.0,0.0,0.0,0.0,15.0,3.25,False,False,False,False,https://api.cyclocity.fr/contracts/lyon/gbfs/v3/gbfs.json,0.5,0.0,True,,T2,
VélO2,FR,ok,45.0,docked_bike,0.0,0.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://api.cyclocity.fr/contracts/cergy/gbfs/v3/gbfs.json,0.3,0.0,True,,T2,
VélO2,FR,ok,49.0,docked_bike,0.0,0.0,15.0,12.0,0.0,0.0,0.0,0.0,4.0,8.16,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ah/gbfs.json,0.3,0.0,True,,T2,
VéloCité,FR,ok,33.0,docked_bike,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://api.cyclocity.fr/contracts/besancon/gbfs/v3/gbfs.json,0.3,0.0,True,,T2,
VéloCité Mulhouse,FR,ok,62.0,docked_bike,0.0,0.0,15.5,13.0,0.0,0.0,0.0,0.0,8.0,12.9,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_af/gbfs.json,0.5,0.0,True,,T2,
VéloMoove,FR,ok,28.0,docked_bike,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,7.0,25.0,True,False,False,False,https://gbfs.partners.fifteen.eu/gbfs/2.2/pompey/en/gbfs.json,0.2,0.0,True,,T2,
Vélonecy,FR,ok,80.0,docked_bike,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,3.0,3.75,False,False,False,False,https://gbfs.partners.fifteen.eu/gbfs/2.2/annecy/en/gbfs.json,0.2,0.0,True,,T2,
Vélopop,FR,ok,29.0,docked_bike,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,5.0,17.24,False,False,False,False,https://gbfs.partners.fifteen.eu/gbfs/avignon/gbfs.json,0.3,0.0,True,,T2,
VélOstan'lib,FR,ok,39.0,docked_bike,0.0,0.0,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://api.cyclocity.fr/contracts/nancy/gbfs/v3/gbfs.json,0.3,0.0,True,,T2,
VélÔToulouse,FR,ok,448.0,docked_bike,0.0,5.0,18.0,25.0,0.0,0.0,0.0,0.0,2.0,0.45,False,False,True,False,https://api.cyclocity.fr/contracts/toulouse/gbfs/v3/gbfs.json,0.6,0.0,True,,T2,
VéloZef,FR,ok,46.0,docked_bike,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,4.35,True,False,False,False,https://gbfs.partners.fifteen.eu/gbfs/2.2/brest/en/gbfs.json,0.2,0.0,True,,T2,
Vertuose,FR,ok,39.0,docked_bike,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,1.0,2.56,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/vertuose/gbfs.json,0.2,0.0,True,,T2,
Vilvolt,FR,ok,106.0,docked_bike,0.0,1.0,15.0,5.0,0.0,0.0,0.0,0.0,15.0,14.15,False,False,False,False,https://gbfs.partners.fifteen.eu/gbfs/epinal/gbfs.json,0.2,0.0,True,,T2,
Zebullo,FR,ok,66.0,docked_bike,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,2.0,3.03,False,False,False,False,https://api.gbfs.v3.0.ecovelo.mobi/zebullo/gbfs.json,0.2,0.0,True,,T2,
Beryl - BCP,GB,ok,400.0,docked_bike,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,1.0,0.25,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/BCP/gbfs.json,0.4,0.0,True,,T2,
Beryl - Bradford,GB,ok,32.0,docked_bike,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,2.0,6.25,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Bradford/gbfs.json,0.3,0.0,True,,T2,
Beryl - Brighton,GB,ok,108.0,docked_bike,0.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,5.0,4.63,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Brighton/gbfs.json,0.3,0.0,True,,T2,
Beryl - Canterbury,GB,ok,25.0,docked_bike,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,False,False,False,False,https://beryl-gbfs-production.web.app/v2_2/Canterbury/gbfs.json,0.4,0.0,True,,T2,
